,SONY,RBLX,NVDA,U,SPOT
825,779100,,59392000,,1371900.0
826,699900,,50303600,,1608100.0
827,682000,,35079200,,1454700.0
828,1026200,,44722400,,1743100.0
829,1970000,,39136400,,2235300.0
830,1921200,,47199600,,1056900.0
831,1341700,,38620000,,2339000.0
832,929700,,42750800,,2436500.0
833,1256900,,41459600,,1180400.0
834,802200,,58849200,,1884600.0
835,1127400,,37582400,,1277200.0
836,6676300,,40084800,,1737800.0
837,1113200,,32784400,,3638400.0
838,1987800,,25378800,,2963900.0
839,1370900,,26824800,,6942800.0
840,1467900,,44314400,,11094800.0
841,1041300,,40066000,,4292600.0
842,1213800,,68761600,,5623700.0
843,918500,,50661600,,2460300.0
844,1107200,,59676000,,1857400.0
845,838000,,99408000,,3606600.0
846,1648100,,121445600,,1601300.0
847,842300,,52314000,,4753300.0
848,908100,,96352800,,2976200.0
849,626500,,55382800,,2077800.0
850,1145100,,51978400,,2470900.0
851,655100,,48371600,,4152400.0
852,624100,,64062400,,1948700.0
853,1047300,,51826400,,1194400.0
854,1070100,,44295600,,1202600.0
855,806100,,43737200,,1083300.0
856,762100,,29211200,,1288500.0
857,1129500,,35268400,,1314300.0
858,747100,,39099600,,1085500.0
859,708900,,49386800,,1446800.0
860,439500,,42196800,,1952400.0
861,1359100,,64202400,,2016900.0
862,994400,,39171200,,1694400.0
863,2584000,,37135600,,2264400.0
864,688800,,36944800,,2207400.0
865,582500,,36045600,,3528900.0
866,597000,,26537200,,2347400.0
867,528900,,31916000,,2231500.0
868,835300,,33820800,,1230700.0
869,731300,,43001600,,4311600.0
870,520000,,43226000,,1983200.0
871,777900,,35626800,,937600.0
872,712100,,59493200,,1627700.0
873,1281000,,36978000,,2365100.0
874,761300,,35951600,,3782000.0
875,1174800,,43416000,,1472000.0
876,646500,,66581600,,2878800.0
877,637900,,47888400,,1658900.0
878,1298400,,45389200,,1779500.0
879,1284500,,33801200,,1645700.0
880,1047500,,39230000,,862300.0
881,480000,,35757200,,1171200.0
882,581100,,22273200,,508400.0
883,1709800,,30621600,,1299600.0
884,447600,,29635200,,1092900.0
885,852300,,30388000,,1388800.0
886,489600,,36001600,,1541700.0
887,1036100,,36750800,,1998600.0
888,1011400,,34550800,,3505600.0
889,867800,,24698800,,1313200.0
890,446900,,19703600,,1141600.0
891,804100,,36213600,,1813300.0
892,630300,,27764000,,920500.0
893,590400,,23575200,,877300.0
894,944200,,22235200,,843700.0
895,458500,,30158400,,1753900.0
896,918800,,35462000,,2174000.0
897,682100,,31911200,,2024700.0
898,506500,,32512400,,5029000.0
899,653200,,29542000,,4124900.0
900,1068400,,34034000,,2978500.0
901,1683100,,28398800,,2233200.0
902,1252400,,28355600,,1140500.0
903,1052300,,26966800,,1391600.0
904,923000,,21428800,,1337600.0
905,611500,,20750800,,1031700.0
906,886100,,25813200,,894400.0
907,775700,,26210000,,584400.0
908,614900,,20428000,,2594700.0
909,1220400,,25639600,,1558700.0
910,1009400,,37520800,,3156000.0
911,737100,,46622000,,1271900.0
912,1161900,,59113600,,1752400.0
913,1480400,,80126000,,546700.0
914,1273100,,114318800,,1489600.0
915,570400,,85438800,,1050500.0
916,463600,,67398800,,990000.0
917,637500,,74985600,,1025500.0
918,1752100,,72068400,,980200.0
919,699500,,53151200,,1454900.0
920,905200,,50577600,,1773100.0
921,1561300,,47538400,,1014800.0
922,1093200,,42010800,,1290200.0
923,712600,,34660800,,803700.0
924,493100,,30659200,,710900.0
925,599600,,39172000,,1430300.0
926,743300,,39315600,,2312600.0
927,1148600,,32279600,,1698600.0
928,873100,,29542000,,1185600.0
929,1071600,,22014000,,1175200.0
930,661400,,24311200,,1413800.0
931,608200,,41909200,,1092600.0
932,625500,,30553600,,1021400.0
933,1254200,,38693600,,1126600.0
934,738400,,20552800,,1318700.0
935,1143900,,29952000,,1156700.0
936,1105900,,22486000,,2615200.0
937,678300,,43058400,,1283200.0
938,3685600,,43512800,,1425000.0
939,1276700,,29391200,,1151500.0
940,1154700,,28038800,,1178500.0
941,1068800,,26854800,,836900.0
942,608600,,21442800,,964800.0
943,1584600,,70939600,,1163700.0
944,632300,,62206000,,1023000.0
945,727200,,38396400,,831000.0
946,979300,,32055200,,1673900.0
947,1836000,,39122000,,1955100.0
948,775400,,42663600,,2395600.0
949,937700,,40861200,,1850600.0
950,1069700,,27350000,,1214500.0
951,1611400,,68494000,,3194000.0
952,1296800,,72543600,,2990500.0
953,1411800,,60823600,,2775300.0
954,1403300,,44976000,,1349700.0
955,1339500,,40871200,,1636000.0
956,1160300,,32966800,,2083700.0
957,1755400,,52402000,,2317000.0
958,769200,,61360800,,2018500.0
959,503000,,36884400,,1426500.0
960,1461800,,62643600,,2404200.0
961,1589900,,88428800,,1652400.0
962,1818600,,95172000,,1195600.0
963,2727300,,66478400,,1326800.0
964,2568700,,75801600,,2306700.0
965,2709200,,80719200,,3071400.0
966,1766900,,74577200,,3165300.0
967,1538300,,56652800,,8785800.0
968,1563400,,45296000,,2239200.0
969,958900,,37933200,,1952500.0
970,711000,,29901200,,1749700.0
971,1616100,,48381200,,2330900.0
972,1076600,,51135200,,2444100.0
973,957800,,41324000,,2571600.0
974,1650000,,61711600,,2657200.0
975,949800,,64471200,,1106300.0
976,871900,,52658000,,1303900.0
977,712800,,84070800,,1070500.0
978,834900,,196352000,,868500.0
979,1579800,,169782000,,1556100.0
980,1412800,,169203200,,2463000.0
981,783100,,102549600,,1455600.0
982,362600,,41196800,,422200.0
983,1280400,,81483200,,1360400.0
984,957000,,73806000,,1174000.0
985,1042000,,80452400,,1693200.0
986,1100000,,54917200,,972100.0
987,809500,,72956400,,1064200.0
988,1082700,,89080400,,1489000.0
989,1113200,,81211200,,1600900.0
990,783400,,69230800,,1543500.0
991,635000,,68167600,,1115400.0
992,1024000,,62947200,,1464700.0
993,1814300,,67191200,,2356300.0
994,926800,,65413600,,1656400.0
995,620200,,47138400,,1171000.0
996,750600,,47182000,,916900.0
997,711500,,66286800,,1251100.0
998,1163900,,56437200,,1431100.0
999,1428100,,74536400,,1768300.0
1000,1314600,,74958800,,2299000.0
1001,1240600,,86374000,,3379000.0
1002,807600,,46384000,,944200.0
1003,1151700,,69510000,,1463700.0
1004,806000,,63704400,,1498200.0
1005,607800,,62872800,,971000.0
1006,858700,,46514000,,1397500.0
1007,779800,,50875200,,861100.0
1008,1618500,,70555200,,1082300.0
1009,1185000,,58562000,,2484800.0
1010,674000,,70916000,,2516200.0
1011,1033000,,78601600,,1257100.0
1012,658900,,61726000,,1276700.0
1013,1067000,,52315600,,1347100.0
1014,591000,,87476400,,1414400.0
1015,735900,,73016800,,2474200.0
1016,985800,,61701200,,2979900.0
1017,880800,,47010400,,2152200.0
1018,708700,,49343600,,1372400.0
1019,889400,,65133600,,1314100.0
1020,901800,,66155200,,1255600.0
1021,803200,,59102000,,1159400.0
1022,886900,,70897200,,708100.0
1023,782200,,115457200,,997000.0
1024,743800,,251152800,,1512600.0
1025,674200,,115393200,,790900.0
1026,922100,,97422800,,1456000.0
1027,1583600,,84285200,,2173700.0
1028,6962800,,62504800,,1783500.0
