,AAPL,TSLA,CL=F
313,84829200.0,62226000.0,580668.0
314,78646800.0,49419000.0,527607.0
315,79942800.0,208329000.0,440724.0
316,79565600.0,152019000.0,532054.0
317,110871600.0,118213500.0,651398.0
318,84596000.0,82809000.0,473019.0
319,66688800.0,68694000.0,796437.0
320,75733600.0,114967500.0,565439.0
321,121517600.0,85869000.0,598003.0
322,81400000.0,90760500.0,629805.0
323,71291600.0,139269000.0,480835.0
324,66328400.0,62080500.0,326340.0
325,58790000.0,45535500.0,202043.0
326,69313600.0,58470000.0,133173.0
327,93278400.0,92241000.0,606263.0
328,69283600.0,67647000.0,687474.0
329,68537200.0,76252500.0,517897.0
330,75486000.0,101065500.0,587240.0
331,80164800.0,70425000.0,655717.0
332,56985200.0,52029000.0,771189.0
333,83441600.0,67582500.0,633992.0
334,134411600.0,132444000.0,364386.0
335,181408800.0,80742000.0,702375.0
336,182788000.0,107001000.0,691319.0
337,93487600.0,212280000.0,943959.0
338,109310800.0,122659500.0,1021610.0
339,195009600.0,105097500.0,785055.0
340,156521600.0,145147500.0,701944.0
341,103222800.0,86124000.0,819796.0
342,109020400.0,71307000.0,661783.0
343,130108000.0,61824000.0,537490.0
344,104038800.0,114330000.0,687153.0
345,80194000.0,62287500.0,589212.0
346,203070800.0,100678500.0,650107.0
347,134272800.0,84807000.0,242754.0
348,107843200.0,70314000.0,146452.0
349,91865600.0,64938000.0,564310.0
350,79675600.0,64776000.0,584139.0
351,76712000.0,75499500.0,736341.0
352,76942400.0,75210000.0,1147389.0
353,87710400.0,117033000.0,763920.0
354,80507600.0,116743500.0,663486.0
355,97804800.0,149451000.0,779144.0
356,65616400.0,114120000.0,774478.0
357,111082800.0,83853000.0,802662.0
358,101326800.0,101766000.0,710199.0
359,106499600.0,166302000.0,825056.0
360,84278400.0,140970000.0,1182327.0
361,85003200.0,135922500.0,927695.0
362,259530800.0,258921000.0,735933.0
363,289229200.0,157765500.0,666765.0
364,136661600.0,177118500.0,783320.0
365,126124800.0,192276000.0,924408.0
366,128661600.0,156397500.0,500938.0
367,201444400.0,100965000.0,191824.0
368,130165600.0,98239500.0,123943.0
369,99600400.0,111580500.0,894104.0
370,85063200.0,73848000.0,1071747.0
371,76425200.0,112947000.0,668830.0
372,141757600.0,96687000.0,690906.0
373,102769600.0,99061500.0,661354.0
374,99047600.0,104946000.0,759115.0
375,88329600.0,94537500.0,753375.0
376,125997600.0,123315000.0,768946.0
377,92096400.0,87727500.0,677408.0
378,57111200.0,94581000.0,517621.0
379,86278400.0,255700500.0,1173581.0
380,96515200.0,289867500.0,969676.0
381,76806800.0,212653500.0,975914.0
382,84362400.0,207313500.0,848570.0
383,79127200.0,173391000.0,1010691.0
384,99538000.0,155191500.0,963505.0
385,100797600.0,128917500.0,748971.0
386,80528400.0,84378000.0,742895.0
387,95174000.0,148153500.0,560633.0
388,71475200.0,95605500.0,208420.0
389,83692000.0,95355000.0,140677.0
390,68974800.0,77493000.0,720621.0
391,105010400.0,73524000.0,769438.0
392,85972800.0,129556500.0,707910.0
393,75415600.0,104838000.0,885700.0
394,63124000.0,72312000.0,887864.0
395,129905200.0,124536000.0,880757.0
396,68854800.0,73206000.0,771225.0
397,79383600.0,128026500.0,781539.0
398,141474400.0,124546500.0,1008583.0
399,279747200.0,196372500.0,847722.0
400,108389200.0,203025000.0,837763.0
401,82239600.0,139033500.0,745664.0
402,87481200.0,94867500.0,831374.0
403,144823600.0,111747000.0,924240.0
404,104526000.0,103381500.0,858250.0
405,163217200.0,106393500.0,1135440.0
406,105028400.0,65487000.0,804237.0
407,88490800.0,67788000.0,763241.0
408,117862000.0,46276500.0,770358.0
409,110686400.0,51207000.0,815544.0
410,111762400.0,75415500.0,608314.0
411,109712400.0,81123000.0,253069.0
412,105474000.0,97431000.0,129192.0
413,86418400.0,64830000.0,864387.0
414,77596400.0,74317500.0,701693.0
415,79275600.0,68770500.0,831358.0
416,101920400.0,52260000.0,646518.0
417,103864000.0,56460000.0,921285.0
418,118067600.0,61105500.0,895643.0
419,109078400.0,51193500.0,895643.0
420,107140400.0,61092000.0,882983.0
421,66364400.0,45742500.0,915708.0
422,117874000.0,57526500.0,742808.0
423,86606800.0,61371000.0,788963.0
424,87714000.0,63588000.0,702514.0
425,114446000.0,48952500.0,843760.0
426,126323200.0,115006500.0,774468.0
427,286856000.0,89593500.0,676040.0
428,179629600.0,62778000.0,706925.0
429,95042800.0,108037500.0,709035.0
430,196458400.0,81307500.0,433597.0
431,113077600.0,107820000.0,189605.0
432,83242400.0,96778500.0,143379.0
433,211805600.0,73786500.0,754413.0
434,150046800.0,69273000.0,580569.0
435,186581600.0,122391000.0,473795.0
436,177549200.0,114088500.0,701244.0
437,146640000.0,107344500.0,709515.0
438,102016800.0,90904500.0,637035.0
439,88022000.0,79794000.0,801816.0
440,105199200.0,76606500.0,551982.0
441,74795200.0,79302000.0,600933.0
442,64921200.0,152304000.0,462735.0
443,80655200.0,122452500.0,598836.0
444,85135200.0,62575500.0,654385.0
445,69630400.0,64462500.0,743114.0
446,65051600.0,112405500.0,505079.0
447,62468000.0,104677500.0,664839.0
448,67622400.0,67512000.0,651948.0
449,64500400.0,61305000.0,729273.0
450,65576800.0,53107500.0,667497.0
451,96486000.0,80632500.0,520725.0
452,75989200.0,49399500.0,471612.0
453,65496800.0,74086500.0,152620.0
454,170336800.0,75927000.0,127413.0
455,95896400.0,73956000.0,674142.0
456,87937200.0,86209500.0,583563.0
457,71028800.0,67375500.0,709553.0
458,84828400.0,128911500.0,681739.0
459,68002000.0,75352500.0,594647.0
460,177816800.0,104695500.0,730915.0
461,178803200.0,63816000.0,565043.0
462,144187200.0,85084500.0,497295.0
463,134551200.0,126859500.0,671038.0
464,165573600.0,296871000.0,482846.0
465,237594400.0,133410000.0,614159.0
466,140105200.0,97290000.0,861713.0
467,97446000.0,79414500.0,750187.0
468,97638000.0,70879500.0,919147.0
469,117930400.0,81706500.0,666949.0
470,100582000.0,69381000.0,541296.0
471,67928400.0,113773500.0,631619.0
472,99130000.0,85141500.0,707338.0
473,116632400.0,89680500.0,501385.0
474,94550000.0,87331500.0,213923.0
475,87598000.0,206026500.0,184944.0
476,65049600.0,123715500.0,593241.0
477,100525200.0,108919500.0,619066.0
478,102355600.0,73764000.0,837411.0
479,56106800.0,48661500.0,577826.0
480,82867200.0,68338500.0,690078.0
481,105715200.0,74242500.0,546526.0
482,166665600.0,131511000.0,741564.0
483,166108800.0,65274000.0,735128.0
484,159037200.0,64393500.0,685215.0
485,130169600.0,87526500.0,529965.0
486,109400800.0,69697500.0,499245.0
487,114240000.0,107929500.0,678992.0
488,102693200.0,71709000.0,557325.0
489,93420800.0,52027500.0,681599.0
490,141095200.0,119070000.0,606724.0
491,77636800.0,130998000.0,826488.0
492,95273600.0,93322500.0,658143.0
493,81906000.0,86998500.0,580571.0
494,160677200.0,103998000.0,210054.0
495,117684400.0,82143000.0,137151.0
496,109745600.0,102375000.0,420784.0
497,93902400.0,89307000.0,420844.0
498,83799600.0,65778000.0,405320.0
499,65397600.0,63237000.0,324554.0
500,132742000.0,65676000.0,437785.0
501,85992800.0,70681500.0,402396.0
502,65920800.0,64744500.0,345962.0
503,103999600.0,56658000.0,464478.0
504,102223600.0,65283000.0,510313.0
505,118071600.0,67822500.0,673859.0
506,89738400.0,149194500.0,654363.0
507,94640000.0,68868000.0,563036.0
508,82271200.0,147891000.0,616474.0
509,86336000.0,107199000.0,844720.0
510,95839600.0,64648500.0,697844.0
511,74670800.0,99682500.0,876642.0
512,101672400.0,72376500.0,678727.0
513,118263600.0,97114500.0,867771.0
514,137547200.0,106552500.0,444384.0
515,124773600.0,85287000.0,204504.0
516,129700400.0,73324500.0,142711.0
517,108434400.0,93156000.0,625662.0
518,130756400.0,81981000.0,662456.0
519,204420400.0,79312500.0,887018.0
520,166116000.0,101104500.0,771758.0
521,156572000.0,68091000.0,678186.0
522,202561600.0,71206500.0,656168.0
523,184192800.0,70765500.0,688380.0
524,129915600.0,93211500.0,613258.0
525,188923200.0,62965500.0,685750.0
526,346375200.0,55572000.0,857572.0
527,290954000.0,66961500.0,891063.0
528,272975200.0,76326000.0,797814.0
529,206434400.0,104538000.0,1029408.0
530,217562000.0,154719000.0,929578.0
531,282690400.0,194005500.0,933307.0
532,243278000.0,93417000.0,736917.0
533,130196800.0,68403000.0,580600.0
534,162579600.0,59260500.0,650324.0
535,204588800.0,88693500.0,340401.0
536,160704400.0,84639000.0,181179.0
537,135722000.0,60141000.0,794481.0
538,149886400.0,48294000.0,466924.0
539,123967600.0,104547000.0,592603.0
540,135249600.0,87261000.0,460597.0
541,152648800.0,65100000.0,469853.0
542,155712400.0,71961000.0,562670.0
543,151128400.0,91045500.0,768409.0
544,195208000.0,103284000.0,812505.0
545,153816000.0,76392000.0,613514.0
546,113605600.0,57357000.0,599266.0
547,95154000.0,64285500.0,634953.0
548,126814000.0,75109500.0,879119.0
549,95096400.0,53493000.0,720510.0
550,128740800.0,82602000.0,659722.0
551,128828400.0,123960000.0,537990.0
552,126774000.0,89487000.0,747738.0
553,117473600.0,119511000.0,665017.0
554,90975200.0,98472000.0,430201.0
555,157618800.0,91759500.0,202493.0
556,133787200.0,112264500.0,115962.0
557,78597600.0,71464500.0,717709.0
558,148219600.0,89376000.0,763768.0
559,165963200.0,74097000.0,689172.0
560,164115200.0,99823500.0,752994.0
561,150164800.0,125628000.0,585899.0
562,163690400.0,208080000.0,670811.0
563,166674000.0,315021000.0,697678.0
564,153594000.0,227560500.0,562819.0
565,150347200.0,241710000.0,582742.0
566,121112000.0,282666000.0,527289.0
567,138422000.0,298450500.0,760596.0
568,107732800.0,286816500.0,588597.0
569,140021200.0,202804500.0,753262.0
570,116070800.0,153747000.0,655831.0
571,113634400.0,164847000.0,840280.0
572,89726400.0,112243500.0,963017.0
573,91557200.0,114132000.0,687468.0
574,100497200.0,109908000.0,624203.0
575,86313600.0,95077500.0,560076.0
576,106421600.0,105000000.0,486076.0
577,83018000.0,98365500.0,221664.0
578,139235200.0,91359000.0,125993.0
579,261964400.0,84418500.0,724906.0
580,146062000.0,73401000.0,740941.0
581,134768000.0,85279500.0,832296.0
582,113528400.0,60204000.0,764049.0
583,111852000.0,65340000.0,660549.0
584,142623200.0,65469000.0,542549.0
585,169709600.0,63423000.0,755186.0
586,214277600.0,69384000.0,694771.0
587,266157600.0,134556000.0,789367.0
588,136272800.0,260281500.0,691219.0
589,224805200.0,128541000.0,690876.0
590,169805600.0,130173000.0,758916.0
591,113611200.0,88950000.0,1253566.0
592,92844800.0,85911000.0,863386.0
593,111957200.0,84774000.0,749808.0
594,104848800.0,70194000.0,634145.0
595,83115200.0,109302000.0,592826.0
596,94780800.0,142788000.0,815289.0
597,76732400.0,85110000.0,574279.0
598,69176000.0,66309000.0,562639.0
599,73190800.0,108778500.0,211785.0
600,73603200.0,137739000.0,119892.0
601,60962800.0,134187000.0,723458.0
602,80233600.0,89776500.0,702791.0
603,92936000.0,62650500.0,640725.0
604,69844000.0,58126500.0,955354.0
605,90056400.0,84999000.0,1059750.0
606,74762000.0,112345500.0,726886.0
607,109931200.0,88795500.0,917563.0
608,93770000.0,81366000.0,781103.0
609,105064800.0,71967000.0,696050.0
610,86264000.0,89928000.0,714674.0
611,83734400.0,281509500.0,708829.0
612,85388800.0,215179500.0,675041.0
613,106627200.0,123078000.0,571224.0
614,73234000.0,197752500.0,558281.0
615,67644400.0,335211000.0,524411.0
616,86553600.0,142047000.0,626398.0
